DataStream0,DataStream1,DataStream2,DataStream3,DataStream4,DataStream5,DataStream6,DataStream7,DataStream8,DataStream9,DataStream10,DataStream11,DataStream12,DataStream13,DataStream14,DataStream15,DataStream16,
44.0,0.0,0.0,4201.025641025642,3730.2564102564106,4364.102564102564,5789.743589743591,3987.692307692308,4165.641025641026,3889.7435897435903,4293.333333333334,4131.794871794872,4121.025641025642,4383.589743589744,4127.6923076923085,3742.0512820512827,4086.1538461538466,
45.0,0.0,0.0,4186.153846153847,3714.358974358975,4349.743589743591,5784.102564102564,3974.358974358975,4167.6923076923085,3888.205128205129,4295.384615384616,4131.794871794872,4077.9487179487187,4366.153846153847,4109.2307692307695,3713.8461538461543,4066.1538461538466,
46.0,0.0,0.0,4182.051282051282,3716.9230769230776,4351.794871794872,5781.025641025642,3985.1282051282055,4191.282051282052,3896.9230769230776,4294.358974358975,4130.256410256411,4084.615384615385,4365.128205128206,4114.871794871796,3720.0000000000005,4068.717948717949,
47.0,0.0,0.0,4186.153846153847,3732.307692307693,4360.512820512821,5782.051282051283,3995.8974358974365,4205.641025641026,3896.410256410257,4286.153846153847,4115.384615384616,4097.948717948719,4368.205128205129,4123.076923076924,3723.589743589744,4070.2564102564106,
48.0,0.0,0.0,4187.179487179487,3732.307692307693,4361.538461538462,5778.461538461539,3990.2564102564106,4180.512820512821,3886.666666666667,4270.256410256411,4086.666666666667,4088.717948717949,4366.153846153847,4119.48717948718,3712.820512820513,4063.076923076924,
49.0,0.0,0.0,4181.025641025642,3721.0256410256416,4352.820512820514,5776.923076923078,3980.5128205128212,4129.2307692307695,3870.7692307692314,4250.769230769231,4062.0512820512827,4078.9743589743593,4361.538461538462,4112.307692307693,3707.1794871794878,4058.9743589743593,
50.0,0.0,0.0,4185.641025641026,3729.2307692307695,4354.871794871796,5778.461538461539,3983.589743589744,4137.435897435898,3871.7948717948725,4259.48717948718,4076.410256410257,4080.0000000000005,4357.948717948719,4113.846153846154,3706.666666666667,4066.1538461538466,
51.0,0.0,0.0,4203.076923076924,3748.717948717949,4370.256410256411,5777.435897435898,3988.205128205129,4198.974358974359,3897.9487179487182,4289.74358974359,4110.769230769231,4094.358974358975,4366.666666666667,4129.74358974359,3713.333333333334,4079.48717948718,
52.0,0.0,0.0,4204.615384615385,3752.820512820513,4373.846153846154,5775.8974358974365,3978.9743589743593,4213.333333333334,3910.2564102564106,4295.8974358974365,4119.48717948718,4098.974358974359,4384.615384615385,4138.461538461539,3724.615384615385,4087.1794871794878,
53.0,0.0,0.0,4190.256410256411,3743.076923076924,4358.461538461539,5776.923076923078,3973.333333333334,4177.948717948719,3895.8974358974365,4290.769230769231,4120.512820512821,4081.0256410256416,4383.589743589744,4123.076923076924,3717.9487179487182,4076.410256410257,
54.0,0.0,0.0,4182.564102564103,3739.48717948718,4348.717948717949,5775.384615384616,3980.5128205128212,4188.717948717949,3898.461538461539,4308.717948717949,4141.538461538462,4083.589743589744,4367.6923076923085,4111.794871794872,3702.0512820512827,4061.0256410256416,
55.0,0.0,0.0,4177.948717948719,3741.0256410256416,4347.179487179487,5767.179487179488,3982.564102564103,4202.051282051282,3912.307692307693,4312.820512820514,4147.179487179487,4100.512820512821,4362.564102564103,4112.820512820514,3701.0256410256416,4057.9487179487182,
56.0,0.0,0.0,4169.2307692307695,3734.8717948717954,4338.461538461539,5765.641025641026,3973.333333333334,4159.48717948718,3900.5128205128212,4294.871794871796,4128.205128205129,4094.358974358975,4359.48717948718,4105.128205128206,3697.435897435898,4056.410256410257,
57.0,0.0,0.0,4166.153846153847,3731.794871794872,4330.256410256411,5769.23076923077,3973.333333333334,4127.6923076923085,3885.6410256410263,4291.282051282052,4118.974358974359,4087.1794871794878,4352.307692307693,4098.461538461539,3680.512820512821,4050.2564102564106,
58.0,0.0,0.0,4167.6923076923085,3739.48717948718,4330.769230769231,5764.615384615386,3975.8974358974365,4150.256410256411,3888.717948717949,4289.74358974359,4117.948717948719,4082.0512820512827,4351.794871794872,4104.615384615385,3669.7435897435903,4049.7435897435903,
59.0,0.0,0.0,4170.256410256411,3749.7435897435903,4340.000000000001,5759.487179487181,3971.7948717948725,4196.923076923077,3905.1282051282055,4285.641025641026,4116.923076923077,4068.717948717949,4364.102564102564,4118.461538461539,3674.358974358975,4061.538461538462,
60.0,0.0,0.0,4174.358974358975,3753.333333333334,4349.743589743591,5758.974358974359,3974.358974358975,4216.410256410257,3917.435897435898,4285.641025641026,4115.8974358974365,4060.0000000000005,4373.333333333334,4127.179487179487,3678.9743589743593,4069.7435897435903,
61.0,0.0,0.0,4174.871794871796,3747.692307692308,4351.282051282052,5760.512820512821,3976.410256410257,4188.205128205129,3900.5128205128212,4275.384615384616,4102.564102564103,4056.410256410257,4363.589743589744,4118.461538461539,3669.2307692307695,4058.9743589743593,
62.0,0.0,0.0,4164.102564102564,3735.3846153846157,4341.538461538462,5756.923076923078,3965.6410256410263,4141.025641025642,3882.564102564103,4264.102564102564,4082.564102564103,4059.48717948718,4345.641025641026,4098.974358974359,3652.307692307693,4041.0256410256416,
63.0,0.0,0.0,4153.846153846154,3731.794871794872,4331.282051282052,5752.307692307693,3953.8461538461543,4157.435897435898,3903.076923076924,4273.333333333334,4096.410256410257,4056.9230769230776,4341.538461538462,4091.7948717948725,3646.666666666667,4033.8461538461543,
64.0,0.0,437.0,4155.8974358974365,3741.0256410256416,4330.769230769231,5755.384615384616,3956.410256410257,4201.025641025642,3917.9487179487182,4289.74358974359,4131.794871794872,4055.8974358974365,4346.666666666667,4095.8974358974365,3650.7692307692314,4038.461538461539,
65.0,0.0,0.0,4157.948717948719,3740.0000000000005,4333.333333333334,5756.410256410257,3962.564102564103,4194.871794871796,3902.0512820512827,4295.8974358974365,4137.435897435898,4071.7948717948725,4347.179487179487,4093.8461538461543,3648.205128205129,4038.461538461539,
66.0,0.0,470.0,4150.769230769231,3735.3846153846157,4331.282051282052,5751.794871794873,3958.9743589743593,4162.051282051282,3892.307692307693,4294.358974358975,4129.74358974359,4070.7692307692314,4345.128205128206,4087.692307692308,3645.6410256410263,4028.717948717949,
67.0,0.0,496.0,4146.666666666667,3743.589743589744,4324.102564102564,5750.769230769231,3952.820512820513,4147.179487179487,3880.0000000000005,4290.256410256411,4129.2307692307695,4045.1282051282055,4340.512820512821,4083.589743589744,3649.2307692307695,4023.589743589744,
68.0,0.0,494.0,4153.846153846154,3754.8717948717954,4328.717948717949,5750.769230769231,3960.0000000000005,4174.871794871796,3873.333333333334,4296.410256410257,4134.871794871796,4049.23076923077,4345.128205128206,4090.2564102564106,3660.0000000000005,4033.333333333334,
69.0,0.0,482.0,4155.384615384616,3752.307692307693,4331.794871794872,5749.2307692307695,3970.2564102564106,4203.076923076924,3885.6410256410263,4293.333333333334,4131.282051282052,4068.205128205129,4358.974358974359,4097.948717948719,3670.7692307692314,4042.0512820512827,
70.0,0.0,508.0,4143.589743589744,3738.461538461539,4320.000000000001,5747.6923076923085,3955.3846153846157,4182.051282051282,3889.7435897435903,4280.000000000001,4121.025641025642,4053.333333333334,4353.846153846154,4088.205128205129,3671.794871794872,4034.358974358975,
71.0,0.0,433.0,4136.410256410257,3726.666666666667,4316.410256410257,5745.128205128206,3940.0000000000005,4134.358974358975,3883.076923076924,4278.974358974359,4111.794871794872,4041.0256410256416,4338.974358974359,4077.9487179487187,3670.7692307692314,4027.692307692308,
72.0,0.0,430.0,4137.435897435898,3722.564102564103,4320.512820512821,5741.025641025642,3952.820512820513,4130.256410256411,3882.564102564103,4270.256410256411,4099.48717948718,4057.435897435898,4350.256410256411,4086.1538461538466,3678.461538461539,4031.7948717948725,
73.0,0.0,435.0,4131.794871794872,3723.589743589744,4314.871794871796,5736.923076923078,3964.1025641025644,4175.8974358974365,3894.358974358975,4261.025641025642,4103.076923076924,4054.8717948717954,4370.256410256411,4093.333333333334,3680.512820512821,4036.410256410257,
74.0,0.0,478.0,4120.512820512821,3717.9487179487182,4306.666666666667,5735.8974358974365,3954.358974358975,4181.538461538462,3891.7948717948725,4274.871794871796,4118.461538461539,4037.9487179487182,4362.051282051282,4087.692307692308,3673.8461538461543,4029.23076923077,
75.0,0.0,465.0,4121.538461538462,3718.461538461539,4312.820512820514,5735.8974358974365,3945.1282051282055,4149.74358974359,3878.461538461539,4286.666666666667,4124.615384615385,4048.717948717949,4348.205128205129,4084.615384615385,3677.9487179487182,4023.589743589744,
